,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
170,0,1,0,61.0,0,0,33.5,0,0
171,0,3,0,4.0,4,1,29.125,2,3
172,1,3,1,1.0,1,1,11.1333,0,2
173,0,3,0,21.0,0,0,7.925,0,0
174,0,1,0,56.0,0,0,30.6958,1,0
175,0,3,0,18.0,1,1,7.8542,0,0
177,0,1,1,50.0,0,0,28.7125,1,2
178,0,2,0,30.0,0,0,13.0,0,0
179,0,3,0,36.0,0,0,0.0,0,0
182,0,3,0,9.0,4,2,31.3875,0,3
183,1,2,0,1.0,2,1,39.0,0,3
184,1,3,1,4.0,0,2,22.025,0,2
187,1,1,0,45.0,0,0,26.55,0,0
188,0,3,0,40.0,1,1,15.5,2,0
189,0,3,0,36.0,0,0,7.8958,0,0
190,1,2,1,32.0,0,0,13.0,0,1
191,0,2,0,19.0,0,0,13.0,0,0
192,1,3,1,19.0,1,0,7.8542,0,2
193,1,2,0,3.0,1,1,26.0,0,3
194,1,1,1,44.0,0,0,27.7208,1,1
195,1,1,1,58.0,0,0,146.5208,1,2
197,0,3,0,42.0,0,1,8.4042,0,0
199,0,2,1,24.0,0,0,13.0,0,2
200,0,3,0,28.0,0,0,9.5,0,0
202,0,3,0,34.0,0,0,6.4958,0,0
203,0,3,0,45.5,0,0,7.225,1,0
204,1,3,0,18.0,0,0,8.05,0,0
205,0,3,1,2.0,0,1,10.4625,0,2
206,0,3,0,32.0,1,0,15.85,0,0
207,1,3,0,26.0,0,0,18.7875,1,0
208,1,3,1,16.0,0,0,7.75,2,2
209,1,1,0,40.0,0,0,31.0,1,0
210,0,3,0,24.0,0,0,7.05,0,0
211,1,2,1,35.0,0,0,21.0,0,2
212,0,3,0,22.0,0,0,7.25,0,0
213,0,2,0,30.0,0,0,13.0,0,0
215,1,1,1,31.0,1,0,113.275,1,2
216,1,3,1,27.0,0,0,7.925,0,2
217,0,2,0,42.0,1,0,27.0,0,0
218,1,1,1,32.0,0,0,76.2917,1,2
219,0,2,0,30.0,0,0,10.5,0,0
220,1,3,0,16.0,0,0,8.05,0,0
221,0,2,0,27.0,0,0,13.0,0,0
222,0,3,0,51.0,0,0,8.05,0,0
224,1,1,0,38.0,1,0,90.0,0,0
225,0,3,0,22.0,0,0,9.35,0,0
226,1,2,0,19.0,0,0,10.5,0,0
227,0,3,0,20.5,0,0,7.25,0,0
228,0,2,0,18.0,0,0,13.0,0,0
230,1,1,1,35.0,1,0,83.475,0,1
231,0,3,0,29.0,0,0,7.775,0,0
232,0,2,0,59.0,0,0,13.5,0,0
233,1,3,1,5.0,4,2,31.3875,0,2
234,0,2,0,24.0,0,0,10.5,0,0
236,0,2,0,44.0,1,0,26.0,0,0
237,1,2,1,8.0,0,2,26.25,0,2
238,0,2,0,19.0,0,0,10.5,0,0
239,0,2,0,33.0,0,0,12.275,0,0
242,0,2,0,29.0,0,0,10.5,0,0
243,0,3,0,22.0,0,0,7.125,0,0
244,0,3,0,30.0,0,0,7.225,1,0
245,0,1,0,44.0,2,0,90.0,2,6
246,0,3,1,25.0,0,0,7.775,0,2
247,1,2,1,24.0,0,2,14.5,0,1
248,1,1,0,37.0,1,1,52.5542,0,0
249,0,2,0,54.0,1,0,26.0,0,5
251,0,3,1,29.0,1,1,10.4625,0,1
252,0,1,0,62.0,0,0,26.55,0,0
253,0,3,0,30.0,1,0,16.1,0,0
254,0,3,1,41.0,0,2,20.2125,0,1
255,1,3,1,29.0,0,2,15.2458,1,1
257,1,1,1,30.0,0,0,86.5,0,2
258,1,1,1,35.0,0,0,512.3292,1,2
259,1,2,1,50.0,0,1,26.0,0,1
261,1,3,0,3.0,4,2,31.3875,0,3
262,0,1,0,52.0,1,1,79.65,0,0
263,0,1,0,40.0,0,0,0.0,0,0
265,0,2,0,36.0,0,0,10.5,0,0
266,0,3,0,16.0,4,1,39.6875,0,0
267,1,3,0,25.0,1,0,7.775,0,0
268,1,1,1,58.0,0,1,153.4625,0,1
269,1,1,1,35.0,0,0,135.6333,0,2
271,1,3,0,25.0,0,0,0.0,0,0
272,1,2,1,41.0,0,1,19.5,0,1
273,0,1,0,37.0,0,1,29.7,1,0
275,1,1,1,63.0,1,0,77.9583,0,2
276,0,3,1,45.0,0,0,7.75,0,2
278,0,3,0,7.0,4,1,29.125,2,3
279,1,3,1,35.0,1,1,20.25,0,1
280,0,3,0,65.0,0,0,7.75,2,0
281,0,3,0,28.0,0,0,7.8542,0,0
282,0,3,0,16.0,0,0,9.5,0,0
283,1,3,0,19.0,0,0,8.05,0,0
285,0,3,0,33.0,0,0,8.6625,1,0
286,1,3,0,30.0,0,0,9.5,0,0
287,0,3,0,22.0,0,0,7.8958,0,0
288,1,2,0,42.0,0,0,13.0,0,0
289,1,3,1,22.0,0,0,7.75,2,2
290,1,1,1,26.0,0,0,78.85,0,2
291,1,1,1,19.0,1,0,91.0792,1,1
292,0,2,0,36.0,0,0,12.875,1,0
293,0,3,1,24.0,0,0,8.85,0,2
294,0,3,0,24.0,0,0,7.8958,0,0
296,0,3,0,23.5,0,0,7.2292,1,0
297,0,1,1,2.0,1,2,151.55,0,2
299,1,1,1,50.0,0,1,247.5208,1,1
302,0,3,0,19.0,0,0,0.0,0,0
305,1,1,0,0.92,1,2,151.55,0,3
307,1,1,1,17.0,1,0,108.9,1,1
308,0,2,0,30.0,1,0,24.0,1,0
309,1,1,1,30.0,0,0,56.9292,1,2
310,1,1,1,24.0,0,0,83.1583,1,2
311,1,1,1,18.0,2,2,262.375,1,2
312,0,2,1,26.0,1,1,26.0,0,1
313,0,3,0,28.0,0,0,7.8958,0,0
314,0,2,0,43.0,1,1,26.25,0,0
315,1,3,1,26.0,0,0,7.8542,0,2
316,1,2,1,24.0,1,0,26.0,0,1
317,0,2,0,54.0,0,0,14.0,0,6
318,1,1,1,31.0,0,2,164.8667,0,2
319,1,1,1,40.0,1,1,134.5,1,1
320,0,3,0,22.0,0,0,7.25,0,0
321,0,3,0,27.0,0,0,7.8958,0,0
322,1,2,1,30.0,0,0,12.35,2,2
323,1,2,1,22.0,1,1,29.0,0,1
325,1,1,1,36.0,0,0,135.6333,1,2
326,0,3,0,61.0,0,0,6.2375,0,0
327,1,2,1,36.0,0,0,13.0,0,1
328,1,3,1,31.0,1,1,20.525,0,1
329,1,1,1,16.0,0,1,57.9792,1,2
331,0,1,0,45.5,0,0,28.5,0,0
332,0,1,0,38.0,0,1,153.4625,0,0
333,0,3,0,16.0,2,0,18.0,0,0
336,0,1,0,29.0,1,0,66.6,0,0
337,1,1,1,41.0,0,0,134.5,1,2
338,1,3,0,45.0,0,0,8.05,0,0
339,0,1,0,45.0,0,0,35.5,0,0
340,1,2,0,2.0,1,1,26.0,0,3
341,1,1,1,24.0,3,2,263.0,0,2
342,0,2,0,28.0,0,0,13.0,0,0
343,0,2,0,25.0,0,0,13.0,0,0
344,0,2,0,36.0,0,0,13.0,0,0
345,1,2,1,24.0,0,0,13.0,0,2
346,1,2,1,40.0,0,0,13.0,0,2
348,1,3,0,3.0,1,1,15.9,0,3
349,0,3,0,42.0,0,0,8.6625,0,0
350,0,3,0,23.0,0,0,9.225,0,0
352,0,3,0,15.0,1,1,7.2292,1,0
353,0,3,0,25.0,1,0,17.8,0,0
355,0,3,0,28.0,0,0,9.5,0,0
356,1,1,1,22.0,0,1,55.0,0,2
357,0,2,1,38.0,0,0,13.0,0,2
360,0,3,0,40.0,1,4,27.9,0,0
361,0,2,0,29.0,1,0,27.7208,1,0
362,0,3,1,45.0,0,1,14.4542,1,1
363,0,3,0,35.0,0,0,7.05,0,0
365,0,3,0,30.0,0,0,7.25,0,0
366,1,1,1,60.0,1,0,75.25,1,1
369,1,1,1,24.0,0,0,69.3,1,7
370,1,1,0,25.0,1,0,55.4417,1,0
371,0,3,0,18.0,1,0,6.4958,0,0
372,0,3,0,19.0,0,0,8.05,0,0
373,0,1,0,22.0,0,0,135.6333,1,0
374,0,3,1,3.0,3,1,21.075,0,2
376,1,3,1,22.0,0,0,7.25,0,2
377,0,1,0,27.0,0,2,211.5,1,0
378,0,3,0,20.0,0,0,4.0125,1,0
379,0,3,0,19.0,0,0,7.775,0,0
380,1,1,1,42.0,0,0,227.525,1,2
381,1,3,1,1.0,0,2,15.7417,1,2
382,0,3,0,32.0,0,0,7.925,0,0
383,1,1,1,35.0,1,0,52.0,0,1
385,0,2,0,18.0,0,0,73.5,0,0
386,0,3,0,1.0,5,2,46.9,0,3
387,1,2,1,36.0,0,0,13.0,0,2
389,1,2,1,17.0,0,0,12.0,1,2
390,1,1,0,36.0,1,2,120.0,0,0
391,1,3,0,21.0,0,0,7.7958,0,0
392,0,3,0,28.0,2,0,7.925,0,0
393,1,1,1,23.0,1,0,113.275,1,2
394,1,3,1,24.0,0,2,16.7,0,1
395,0,3,0,22.0,0,0,7.7958,0,0
396,0,3,1,31.0,0,0,7.8542,0,2
397,0,2,0,46.0,0,0,26.0,0,0
398,0,2,0,23.0,0,0,10.5,0,6
399,1,2,1,28.0,0,0,12.65,0,1
400,1,3,0,39.0,0,0,7.925,0,0
401,0,3,0,26.0,0,0,8.05,0,0
402,0,3,1,21.0,1,0,9.825,0,2
403,0,3,0,28.0,1,0,15.85,0,0
404,0,3,1,20.0,0,0,8.6625,0,2
405,0,2,0,34.0,1,0,21.0,0,0
406,0,3,0,51.0,0,0,7.75,0,0
407,1,2,0,3.0,1,1,18.75,0,3
408,0,3,0,21.0,0,0,7.775,0,0
412,1,1,1,33.0,1,0,90.0,2,2
414,1,3,0,44.0,0,0,7.925,0,0
416,1,2,1,34.0,1,1,32.5,0,1
417,1,2,1,18.0,0,2,13.0,0,2
418,0,2,0,30.0,0,0,13.0,0,0
419,0,3,1,10.0,0,2,24.15,0,2
421,0,3,0,21.0,0,0,7.7333,2,0
422,0,3,0,29.0,0,0,7.875,0,0
423,0,3,1,28.0,1,1,14.4,0,1
424,0,3,0,18.0,1,1,20.2125,0,0
426,1,2,1,28.0,1,0,26.0,0,1
427,1,2,1,19.0,0,0,26.0,0,2
429,1,3,0,32.0,0,0,8.05,0,0
430,1,1,0,28.0,0,0,26.55,0,0
432,1,2,1,42.0,1,0,26.0,0,1
433,0,3,0,17.0,0,0,7.125,0,0
434,0,1,0,50.0,1,0,55.9,0,0
435,1,1,1,14.0,1,2,120.0,0,2
436,0,3,1,21.0,2,2,34.375,0,2
437,1,2,1,24.0,2,3,18.75,0,1
438,0,1,0,64.0,1,4,263.0,0,0
439,0,2,0,31.0,0,0,10.5,0,0
440,1,2,1,45.0,1,1,26.25,0,1
441,0,3,0,20.0,0,0,9.5,0,0
442,0,3,0,25.0,1,0,7.775,0,0
443,1,2,1,28.0,0,0,13.0,0,8
445,1,1,0,4.0,0,2,81.8583,0,3
446,1,2,1,13.0,0,1,19.5,0,2
447,1,1,0,34.0,0,0,26.55,0,0
448,1,3,1,5.0,2,1,19.2583,1,2
449,1,1,0,52.0,0,0,30.5,0,9
450,0,2,0,36.0,1,2,27.75,0,0
452,0,1,0,30.0,0,0,27.75,1,0
453,1,1,0,49.0,1,0,89.1042,1,0
455,1,3,0,29.0,0,0,7.8958,1,0
456,0,1,0,65.0,0,0,26.55,0,0
458,1,2,1,50.0,0,0,10.5,0,2
460,1,1,0,48.0,0,0,26.55,0,0
461,0,3,0,34.0,0,0,8.05,0,0
462,0,1,0,47.0,0,0,38.5,0,0
463,0,2,0,48.0,0,0,13.0,0,0
465,0,3,0,38.0,0,0,7.05,0,0
467,0,1,0,56.0,0,0,26.55,0,0
469,1,3,1,0.75,2,1,19.2583,1,2
471,0,3,0,38.0,0,0,8.6625,0,0
472,1,2,1,33.0,1,2,27.75,0,1
473,1,2,1,23.0,0,0,13.7917,1,1
474,0,3,1,22.0,0,0,9.8375,0,2
476,0,2,0,34.0,1,0,21.0,0,0
477,0,3,0,29.0,1,0,7.0458,0,0
478,0,3,0,22.0,0,0,7.5208,0,0
479,1,3,1,2.0,0,1,12.2875,0,2
480,0,3,0,9.0,5,2,46.9,0,3
482,0,3,0,50.0,0,0,8.05,0,0
483,1,3,1,63.0,0,0,9.5875,0,1
484,1,1,0,25.0,1,0,91.0792,1,0
486,1,1,1,35.0,1,0,90.0,0,1
487,0,1,0,58.0,0,0,29.7,1,0
488,0,3,0,30.0,0,0,8.05,0,0
489,1,3,0,9.0,1,1,15.9,0,3
491,0,3,0,21.0,0,0,7.25,0,0
492,0,1,0,55.0,0,0,30.5,0,0
493,0,1,0,71.0,0,0,49.5042,1,0
494,0,3,0,21.0,0,0,8.05,0,0
496,1,1,1,54.0,1,0,78.2667,1,2
498,0,1,1,25.0,1,2,151.55,0,1
499,0,3,0,24.0,0,0,7.7958,0,0
500,0,3,0,17.0,0,0,8.6625,0,0
501,0,3,1,21.0,0,0,7.75,2,2
503,0,3,1,37.0,0,0,9.5875,0,2
504,1,1,1,16.0,0,0,86.5,0,2
505,0,1,0,18.0,1,0,108.9,1,0
506,1,2,1,33.0,0,2,26.0,0,1
508,0,3,0,28.0,0,0,22.525,0,0
509,1,3,0,26.0,0,0,56.4958,0,0
510,1,3,0,29.0,0,0,7.75,2,0
512,1,1,0,36.0,0,0,26.2875,0,0
513,1,1,1,54.0,1,0,59.4,1,1
514,0,3,0,24.0,0,0,7.4958,0,0
515,0,1,0,47.0,0,0,34.0208,0,0
516,1,2,1,34.0,0,0,10.5,0,1
518,1,2,1,36.0,1,0,26.0,0,1
519,0,3,0,32.0,0,0,7.8958,0,0
520,1,1,1,30.0,0,0,93.5,0,2
521,0,3,0,22.0,0,0,7.8958,0,0
523,1,1,1,44.0,0,1,57.9792,1,1
525,0,3,0,40.5,0,0,7.75,2,0
526,1,2,1,50.0,0,0,10.5,0,2
528,0,3,0,39.0,0,0,7.925,0,0
529,0,2,0,23.0,2,1,11.5,0,0
530,1,2,1,2.0,1,1,26.0,0,2
532,0,3,0,17.0,1,1,7.2292,1,0
534,0,3,1,30.0,0,0,8.6625,0,2
535,1,2,1,7.0,0,2,26.25,0,2
536,0,1,0,45.0,0,0,26.55,0,9
537,1,1,1,30.0,0,0,106.425,1,2
539,1,1,1,22.0,0,2,49.5,1,2
540,1,1,1,36.0,0,2,71.0,0,2
541,0,3,1,9.0,4,2,31.275,0,2
542,0,3,1,11.0,4,2,31.275,0,2
543,1,2,0,32.0,1,0,26.0,0,0
544,0,1,0,50.0,1,0,106.425,1,0
545,0,1,0,64.0,0,0,26.0,0,0
546,1,2,1,19.0,1,0,26.0,0,1
548,0,3,0,33.0,1,1,20.525,0,0
549,1,2,0,8.0,1,1,36.75,0,3
550,1,1,0,17.0,0,2,110.8833,1,0
551,0,2,0,27.0,0,0,26.0,0,0
553,1,3,0,22.0,0,0,7.225,1,0
554,1,3,1,22.0,0,0,7.775,0,2
555,0,1,0,62.0,0,0,26.55,0,0
556,1,1,1,48.0,1,0,39.6,1,10
558,1,1,1,39.0,1,1,79.65,0,1
559,1,3,1,36.0,1,0,17.4,0,1
561,0,3,0,40.0,0,0,7.8958,0,0
562,0,2,0,28.0,0,0,13.5,0,0
565,0,3,0,24.0,2,0,24.15,0,0
566,0,3,0,19.0,0,0,7.8958,0,0
567,0,3,1,29.0,0,4,21.075,0,1
569,1,3,0,32.0,0,0,7.8542,0,0
570,1,2,0,62.0,0,0,10.5,0,0
571,1,1,1,53.0,2,0,51.4792,0,1
572,1,1,0,36.0,0,0,26.3875,0,0
574,0,3,0,16.0,0,0,8.05,0,0
575,0,3,0,19.0,0,0,14.5,0,0
576,1,2,1,34.0,0,0,13.0,0,2
577,1,1,1,39.0,1,0,55.9,0,1
579,1,3,0,32.0,0,0,7.925,0,0
580,1,2,1,25.0,1,1,30.0,0,2
581,1,1,1,39.0,1,1,110.8833,1,1
582,0,2,0,54.0,0,0,26.0,0,0
583,0,1,0,36.0,0,0,40.125,1,0
585,1,1,1,18.0,0,2,79.65,0,2
586,0,2,0,47.0,0,0,15.0,0,0
587,1,1,0,60.0,1,1,79.2,1,0
588,0,3,0,22.0,0,0,8.05,0,0
590,0,3,0,35.0,0,0,7.125,0,0
591,1,1,1,52.0,1,0,78.2667,1,1
592,0,3,0,47.0,0,0,7.25,0,0
594,0,2,0,37.0,1,0,26.0,0,0
595,0,3,0,36.0,1,1,24.15,0,0
597,0,3,0,49.0,0,0,0.0,0,0
599,1,1,0,49.0,1,0,56.9292,1,11
600,1,2,1,24.0,2,1,27.0,0,1
603,0,3,0,44.0,0,0,8.05,0,0
604,1,1,0,35.0,0,0,26.55,1,0
605,0,3,0,36.0,1,0,15.55,0,0
606,0,3,0,30.0,0,0,7.8958,0,0
607,1,1,0,27.0,0,0,30.5,0,0
608,1,2,1,22.0,1,2,41.5792,1,1
609,1,1,1,40.0,0,0,153.4625,0,2
610,0,3,1,39.0,1,5,31.275,0,1
614,0,3,0,35.0,0,0,8.05,0,0
615,1,2,1,24.0,1,2,65.0,0,2
616,0,3,0,34.0,1,1,14.4,0,0
617,0,3,1,26.0,1,0,16.1,0,1
618,1,2,1,4.0,2,1,39.0,0,2
619,0,2,0,26.0,0,0,10.5,0,0
620,0,3,0,27.0,1,0,14.4542,1,0
621,1,1,0,42.0,1,0,52.5542,0,0
622,1,3,0,20.0,1,1,15.7417,1,0
623,0,3,0,21.0,0,0,7.8542,0,0
624,0,3,0,21.0,0,0,16.1,0,0
625,0,1,0,61.0,0,0,32.3208,0,0
626,0,2,0,57.0,0,0,12.35,2,5
627,1,1,1,21.0,0,0,77.9583,0,2
628,0,3,0,26.0,0,0,7.8958,0,0
630,1,1,0,80.0,0,0,30.0,0,0
631,0,3,0,51.0,0,0,7.0542,0,0
632,1,1,0,32.0,0,0,30.5,1,6
634,0,3,1,9.0,3,2,27.9,0,2
635,1,2,1,28.0,0,0,13.0,0,2
636,0,3,0,32.0,0,0,7.925,0,0
637,0,2,0,31.0,1,1,26.25,0,0
638,0,3,1,41.0,0,5,39.6875,0,1
640,0,3,0,20.0,0,0,7.8542,0,0
641,1,1,1,24.0,0,0,69.3,1,12
642,0,3,1,2.0,3,2,27.9,0,2
644,1,3,1,0.75,2,1,19.2583,1,2
645,1,1,0,48.0,1,0,76.7292,1,0
646,0,3,0,19.0,0,0,7.8958,0,0
647,1,1,0,56.0,0,0,35.5,1,13
649,1,3,1,23.0,0,0,7.55,0,2
651,1,2,1,18.0,0,1,23.0,0,2
652,0,3,0,21.0,0,0,8.4333,0,0
654,0,3,1,18.0,0,0,6.75,2,2
655,0,2,0,24.0,2,0,73.5,0,0
657,0,3,1,32.0,1,1,15.5,2,1
658,0,2,0,23.0,0,0,13.0,0,0
659,0,1,0,58.0,0,2,113.275,1,0
660,1,1,0,50.0,2,0,133.65,0,6
661,0,3,0,40.0,0,0,7.225,1,0
662,0,1,0,47.0,0,0,25.5875,0,0
663,0,3,0,36.0,0,0,7.4958,0,0
664,1,3,0,20.0,1,0,7.925,0,0
665,0,2,0,32.0,2,0,73.5,0,0
666,0,2,0,25.0,0,0,13.0,0,0
668,0,3,0,43.0,0,0,8.05,0,0
670,1,2,1,40.0,1,1,39.0,0,1
671,0,1,0,31.0,1,0,52.0,0,0
672,0,2,0,70.0,0,0,10.5,0,0
673,1,2,0,31.0,0,0,13.0,0,0
675,0,3,0,18.0,0,0,7.775,0,0
676,0,3,0,24.5,0,0,8.05,0,0
677,1,3,1,18.0,0,0,9.8417,0,2
678,0,3,1,43.0,1,6,46.9,0,1
679,1,1,0,36.0,0,1,512.3292,1,0
681,1,1,0,27.0,0,0,76.7292,1,0
682,0,3,0,20.0,0,0,9.225,0,0
683,0,3,0,14.0,5,2,46.9,0,0
684,0,2,0,60.0,1,1,39.0,0,0
685,0,2,0,25.0,1,2,41.5792,1,0
686,0,3,0,14.0,4,1,39.6875,0,0
687,0,3,0,19.0,0,0,10.1708,0,0
688,0,3,0,18.0,0,0,7.7958,0,0
689,1,1,1,15.0,0,1,211.3375,0,2
690,1,1,0,31.0,1,0,57.0,0,0
691,1,3,1,4.0,0,1,13.4167,1,2
693,0,3,0,25.0,0,0,7.225,1,0
694,0,1,0,60.0,0,0,26.55,0,13
695,0,2,0,52.0,0,0,13.5,0,0
696,0,3,0,44.0,0,0,8.05,0,0
698,0,1,0,49.0,1,1,110.8833,1,0
699,0,3,0,42.0,0,0,7.65,0,0
700,1,1,1,18.0,1,0,227.525,1,1
701,1,1,0,35.0,0,0,26.2875,0,0
702,0,3,1,18.0,0,1,14.4542,1,2
703,0,3,0,25.0,0,0,7.7417,2,0
704,0,3,0,26.0,1,0,7.8542,0,0
705,0,2,0,39.0,0,0,26.0,0,0
706,1,2,1,45.0,0,0,13.5,0,1
707,1,1,0,42.0,0,0,26.2875,0,0
708,1,1,1,22.0,0,0,151.55,0,2
710,1,1,1,24.0,0,0,49.5042,1,12
712,1,1,0,48.0,1,0,52.0,0,0
713,0,3,0,29.0,0,0,9.4833,0,0
714,0,2,0,52.0,0,0,13.0,0,0
715,0,3,0,19.0,0,0,7.65,0,0
716,1,1,1,38.0,0,0,227.525,1,2
717,1,2,1,27.0,0,0,10.5,0,2
719,0,3,0,33.0,0,0,7.775,0,0
720,1,2,1,6.0,0,1,33.0,0,2
